campaign_id,campaign_type,start_date,end_date
24,Y,2013-10-21,2013-12-20
25,Y,2013-10-21,2013-11-22
20,Y,2013-09-07,2013-11-16
23,Y,2013-10-08,2013-11-15
21,Y,2013-09-16,2013-10-18
22,X,2013-09-16,2013-10-18
18,X,2013-08-10,2013-10-04
19,Y,2013-08-26,2013-09-27
17,Y,2013-07-29,2013-08-30
16,Y,2013-07-15,2013-08-16
13,X,2013-05-19,2013-07-05
11,Y,2013-04-22,2013-06-07
12,Y,2013-04-22,2013-05-24
10,Y,2013-04-08,2013-05-10
9,Y,2013-03-11,2013-04-12
8,X,2013-02-16,2013-04-05
7,Y,2013-02-02,2013-03-08
6,Y,2013-01-28,2013-03-01
3,Y,2012-12-22,2013-02-16
5,Y,2013-01-12,2013-02-15
4,Y,2013-01-07,2013-02-08
1,Y,2012-12-12,2013-01-18
2,Y,2012-12-17,2013-01-18
30,X,2012-11-19,2013-01-04
29,Y,2012-10-08,2012-11-30
28,Y,2012-09-16,2012-11-16
27,Y,2012-08-25,2012-10-27
26,X,2012-08-12,2012-09-21
