coupon_id,item_id
105,37
107,75
494,76
522,77
518,77
520,77
529,77
524,77
522,81
518,81
520,81
529,81
524,81
378,90
596,98
104,101
596,105
494,111
468,113
651,125
650,125
468,134
415,137
492,142
312,149
596,154
651,158
650,158
312,165
492,169
671,171
596,176
106,182
596,188
845,192
932,194
932,195
522,199
524,199
520,199
518,199
529,199
720,204
718,204
44,209
932,213
976,216
975,216
492,223
522,226
518,226
524,226
520,226
529,226
549,236
596,248
43,251
42,251
468,255
522,264
801,264
907,268
799,280
800,280
18,280
932,283
907,289
1069,291
932,300
522,326
801,326
315,339
1069,340
705,369
932,370
37,385
241,386
37,395
37,400
878,405
37,416
643,419
37,431
107,459
37,482
37,483
38,512
107,521
1063,530
1062,530
241,570
1063,575
1062,575
1109,580
1069,582
1069,586
534,587
705,594
822,598
825,598
1109,606
703,627
1109,648
1109,661
1109,665
674,701
43,703
42,703
783,725
953,764
618,779
1079,786
456,805
457,805
567,830
444,832
442,832
445,832
562,835
347,839
347,840
456,845
457,845
562,867
468,878
468,888
468,892
43,893
42,893
452,895
562,897
415,907
415,915
431,924
799,925
417,933
415,933
416,933
527,934
415,940
417,942
415,942
416,942
810,945
809,945
468,948
599,949
596,949
431,951
618,952
431,954
514,955
452,958
494,959
494,960
895,965
522,966
520,966
518,966
524,966
529,966
42,971
43,971
522,979
518,979
520,979
529,979
524,979
562,980
42,988
43,988
431,991
431,993
522,995
518,995
520,995
524,995
529,995
43,1000
42,1000
599,1001
596,1001
415,1002
913,1004
590,1006
492,1009
396,1010
397,1010
398,1010
395,1010
399,1010
705,1013
591,1015
578,1017
527,1022
525,1022
721,1028
722,1028
869,1033
868,1033
870,1033
562,1035
895,1036
671,1040
670,1040
584,1041
587,1041
431,1046
578,1049
492,1050
492,1051
496,1051
432,1058
618,1063
691,1065
878,1066
869,1067
870,1067
868,1067
810,1071
809,1071
403,1073
404,1073
405,1073
869,1084
870,1084
868,1084
562,1085
1109,1087
691,1088
562,1091
389,1093
834,1093
401,1093
833,1093
390,1093
864,1097
599,1098
597,1098
42,1101
43,1101
584,1102
587,1102
578,1105
864,1110
578,1111
584,1113
587,1113
869,1124
870,1124
868,1124
869,1125
870,1125
868,1125
982,1129
42,1130
43,1130
869,1135
870,1135
868,1135
938,1137
389,1144
834,1144
833,1144
390,1144
401,1144
492,1147
496,1147
869,1153
868,1153
870,1153
42,1154
43,1154
562,1155
38,1163
788,1163
791,1163
526,1164
578,1172
869,1185
868,1185
870,1185
869,1186
868,1186
870,1186
641,1190
641,1192
895,1195
853,1198
982,1199
468,1204
671,1212
670,1212
971,1214
705,1224
982,1234
347,1240
42,1242
43,1242
671,1245
670,1245
42,1247
43,1247
38,1250
791,1250
788,1250
938,1251
781,1254
982,1255
982,1258
38,1266
791,1266
788,1266
38,1269
718,1272
584,1274
587,1274
42,1275
43,1275
671,1281
670,1281
562,1287
43,1288
42,1288
666,1291
810,1294
809,1294
982,1298
853,1300
788,1302
791,1302
468,1305
671,1311
670,1311
841,1314
1088,1314
1089,1314
671,1315
670,1315
38,1316
788,1316
791,1316
347,1327
671,1336
670,1336
578,1346
726,1348
726,1355
468,1358
705,1364
671,1365
670,1365
523,1371
522,1372
518,1372
524,1372
529,1372
520,1372
38,1373
869,1375
870,1375
868,1375
910,1376
982,1377
810,1386
809,1386
697,1392
726,1395
41,1404
44,1405
796,1409
796,1413
432,1415
41,1418
562,1421
796,1424
796,1426
810,1427
809,1427
671,1430
670,1430
781,1432
796,1436
869,1438
868,1438
870,1438
853,1440
1094,1442
796,1446
796,1447
796,1448
41,1449
783,1451
431,1457
796,1463
796,1464
982,1468
796,1471
982,1472
796,1473
578,1476
705,1477
389,1479
834,1479
833,1479
390,1479
401,1479
913,1481
971,1483
796,1489
42,1491
43,1491
455,1493
796,1497
796,1498
796,1509
796,1510
783,1511
787,1512
41,1515
455,1517
796,1527
432,1530
41,1532
811,1536
455,1537
584,1540
562,1542
841,1543
1088,1543
1089,1543
41,1544
810,1546
809,1546
492,1550
496,1550
41,1556
562,1558
38,1562
796,1570
41,1576
41,1589
796,1590
796,1591
43,1593
42,1593
578,1601
455,1605
702,1613
41,1614
703,1618
522,1621
524,1621
529,1621
520,1621
518,1621
810,1625
809,1625
1063,1627
1062,1627
41,1628
468,1634
705,1641
796,1642
796,1652
455,1660
522,1667
518,1667
520,1667
524,1667
529,1667
455,1673
41,1674
705,1682
41,1683
715,1684
716,1684
42,1686
43,1686
981,1690
796,1693
703,1701
41,1709
496,1712
41,1713
41,1714
705,1721
41,1729
869,1733
870,1733
43,1736
42,1736
572,1737
1088,1748
1089,1748
726,1762
691,1765
431,1768
705,1769
455,1779
781,1783
1079,1793
41,1794
41,1806
44,1814
783,1817
781,1822
1088,1823
1089,1823
1088,1830
1089,1830
878,1831
878,1837
864,1838
44,1842
819,1844
41,1850
572,1857
864,1865
43,1866
42,1866
787,1872
431,1877
705,1887
455,1896
783,1902
841,1924
1099,1924
1088,1924
1089,1924
1081,1926
44,1932
841,1935
1088,1935
1089,1935
1079,1941
107,1942
787,1944
841,1945
1089,1945
1088,1945
44,1950
1079,1954
1016,1963
572,1964
41,1969
584,1983
562,1990
456,1993
457,1993
1016,1996
496,1998
43,2003
42,2003
787,2004
705,2017
1016,2020
819,2024
584,2031
1079,2037
810,2042
809,2042
562,2045
549,2059
1016,2060
1048,2062
584,2065
1088,2084
1089,2084
1048,2101
28,2104
732,2116
526,2121
526,2137
618,2139
619,2139
279,2143
1079,2151
526,2153
618,2166
619,2166
279,2210
1079,2223
913,2227
913,2234
913,2239
488,2245
488,2247
488,2254
913,2262
488,2264
562,2265
488,2276
488,2277
488,2287
488,2291
43,2300
42,2300
488,2301
597,2322
488,2328
597,2331
597,2332
43,2340
42,2340
105,2360
664,2375
597,2382
981,2398
562,2399
43,2407
42,2407
982,2427
597,2428
567,2432
825,2445
822,2445
551,2446
580,2458
457,2459
982,2462
907,2463
580,2472
42,2479
43,2479
906,2484
466,2489
43,2490
42,2490
689,2507
662,2512
578,2513
838,2514
1098,2514
1097,2514
840,2514
42,2517
43,2517
662,2528
803,2567
803,2571
597,2605
568,2615
43,2618
42,2618
526,2623
568,2625
913,2633
910,2637
568,2645
1043,2648
783,2667
612,2672
468,2677
783,2688
1023,2692
523,2711
523,2713
783,2730
913,2733
514,2743
42,2747
43,2747
628,2748
43,2756
42,2756
43,2767
42,2767
43,2769
42,2769
43,2770
42,2770
43,2772
42,2772
40,2774
19,2774
43,2777
42,2777
43,2782
42,2782
628,2795
43,2810
42,2810
43,2824
42,2824
783,2834
847,2838
417,2848
418,2848
783,2850
982,2851
783,2872
803,2881
803,2883
803,2884
705,2895
1023,2916
906,2917
43,2925
42,2925
906,2926
43,2931
42,2931
803,2938
43,2941
42,2941
43,2968
42,2968
43,2970
42,2970
982,2975
938,3000
43,3004
42,3004
841,3010
1088,3010
1089,3010
689,3031
703,3043
43,3046
42,3046
41,3051
1026,3051
562,3054
1091,3060
1092,3060
906,3061
43,3063
42,3063
41,3076
1026,3076
41,3077
1026,3077
41,3080
1026,3080
703,3087
41,3093
1026,3093
703,3094
41,3100
1026,3100
492,3106
496,3106
726,3109
347,3113
597,3118
107,3121
993,3123
982,3126
496,3128
44,3141
982,3143
562,3144
385,3162
384,3162
432,3163
494,3165
42,3170
43,3170
1048,3177
42,3178
43,3178
492,3184
796,3198
107,3200
488,3208
496,3211
781,3215
37,3216
1109,3217
529,3226
841,3229
1088,3229
1089,3229
651,3231
650,3231
43,3233
42,3233
913,3244
488,3249
43,3259
42,3259
522,3264
524,3264
529,3264
520,3264
518,3264
527,3284
43,3285
42,3285
869,3291
870,3291
868,3291
44,3299
492,3302
981,3307
109,3309
315,3309
488,3321
43,3331
42,3331
705,3333
468,3340
982,3343
869,3344
868,3344
870,3344
1016,3349
441,3351
982,3355
522,3356
518,3356
520,3356
524,3356
529,3356
529,3365
40,3370
19,3370
744,3379
389,3380
834,3380
833,3380
390,3380
401,3380
42,3385
43,3385
783,3391
982,3396
1023,3397
796,3409
43,3410
42,3410
42,3413
43,3413
526,3424
403,3428
405,3428
404,3428
662,3431
705,3432
441,3440
522,3443
524,3443
529,3443
520,3443
518,3443
878,3456
671,3463
670,3463
783,3466
783,3472
107,3478
584,3490
841,3491
1088,3491
1089,3491
599,3496
596,3496
43,3504
42,3504
43,3506
42,3506
42,3512
43,3512
869,3514
870,3514
868,3514
488,3522
266,3529
596,3536
522,3544
518,3544
524,3544
529,3544
520,3544
40,3551
19,3551
596,3556
496,3560
488,3563
514,3578
488,3579
796,3596
721,3605
722,3605
906,3609
37,3622
41,3625
562,3637
562,3640
584,3646
587,3646
599,3655
596,3655
619,3656
42,3665
43,3665
572,3672
43,3681
42,3681
597,3682
796,3688
1079,3695
913,3701
43,3702
42,3702
466,3706
347,3708
584,3713
587,3713
580,3716
312,3719
488,3732
43,3739
42,3739
44,3743
42,3754
43,3754
726,3756
783,3769
468,3770
982,3772
982,3773
108,3774
799,3778
869,3782
868,3782
870,3782
873,3789
597,3796
913,3798
597,3800
107,3802
783,3814
597,3820
781,3825
1069,3832
42,3833
43,3833
43,3834
42,3834
108,3838
796,3844
1079,3847
705,3852
43,3854
42,3854
671,3862
670,3862
432,3863
527,3865
525,3865
41,3866
37,3874
41,3891
42,3895
43,3895
1023,3902
982,3909
488,3910
853,3913
523,3925
596,3928
40,3933
19,3933
726,3947
42,3952
43,3952
43,3956
42,3956
796,3965
841,3990
1088,3990
1089,3990
596,3998
932,4009
43,4011
42,4011
796,4017
913,4021
43,4026
42,4026
726,4028
488,4040
584,4045
37,4049
913,4050
838,4058
1098,4058
840,4058
1097,4058
42,4060
43,4060
1081,4070
488,4076
498,4078
43,4085
42,4085
980,4087
